titulo,categoria,categorias_adicionales,descripcion,telefono,direccion,ciudad,codigo_postal,region,pais,latitud,longitud,rating,cantidad_reviews,url,dominio,cid,place_id,verificado,estado_actual,logo,imagen_principal,total_fotos,nivel_precio,hotel_rating,tipo_negocio
Color Café - Arte & Pastelería,Cafe,,"Cafetería de especialidad, con pastelería de autor, arte y música eventualmente",5491162095848,"Gral. Paz 2619, B1653 Villa Ballester, Provincia de Buenos Aires",Villa Ballester,B1653,Buenos Aires Province,AR,-34.5469158,-58.556097099999995,4.7,591,https://www.colorcafe.com.ar/,www.colorcafe.com.ar,5274839608378475559,ChIJ7b3dPAC6vJURJ0SPMK3-M0k,True,close,https://lh3.googleusercontent.com/-zkLp_N6yvRE/AAAAAAAAAAI/AAAAAAAAAAA/w2FvL5kbWFo/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr6xVO0ks0C1k5yg4GJAmcLtBkGWyXS-o4WbsImkucy6fGPFIFeTIJjTm83tlN3MUbiixTzNC9BSxB3jot7Zyy-AwkWZa53EGrblNoW7_JDNupTtjXveUUup6TvahT_d_fhgQzl=w408-h306-k-no,619,moderate,,cafeterias
Café Paz Resto,Cafe,"Bar & grill, Breakfast restaurant",,5491153853000,"Alsina 455, B1878 Quilmes, Provincia de Buenos Aires",Quilmes,B1878,Buenos Aires Province,AR,-34.7189602,-58.2529806,4.4,1777,,,8066785052214775562,ChIJRQPJRD8uo5URCk-x7EP68m8,True,close,https://lh6.googleusercontent.com/-8VhAUxGg0e8/AAAAAAAAAAI/AAAAAAAAAAA/OTwChe49OpY/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipNP-5pfM7e7hpiYs7LCSSBw9zlCxAdvrLFz50oq=w408-h244-k-no,521,moderate,,cafeterias
Café Martínez,Coffee shop,Breakfast restaurant,,5491148977869,"Bonifacini 2098, B1650BGJ Gran Buenos Aires, Provincia de Buenos Aires",Gran Buenos Aires,B1650,Buenos Aires Province,AR,-34.5758826,-58.5371068,4.4,5823,http://www.cafemartinez.com/,www.cafemartinez.com,8295948930906738195,ChIJ1zto4HO3vJURE056TZkhIXM,True,open,https://lh5.googleusercontent.com/-_aCVEBe__CA/AAAAAAAAAAI/AAAAAAAAAAA/mt0ipjHMI_c/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqMzKm06hLPUV5I3xWHyeqaiq_4rUrnjO4S4v_A2DPjXEwGBCQT2slFHrZAmLrJP6AZop_Mo5fLaLSKyoP_lTI474Q0WO1lAQTP8aMpaCidaNvPBymZyV10DhUbmw7l6AXheS7YYg=w408-h267-k-no,2122,moderate,,cafeterias
Las Cortaderas,Coffee shop,Restaurant,,5491147954086,"Gdor. Valentín Vergara 2390, B1602 Florida, Provincia de Buenos Aires",Florida,B1602,Buenos Aires Province,AR,-34.530318099999995,-58.4939001,4.2,3480,,,5171351302732852456,ChIJvxfc08y2vJUR6CwlYJxUxEc,True,open,https://lh5.googleusercontent.com/-bzJ3wMCy8BA/AAAAAAAAAAI/AAAAAAAAAAA/Ee5IiZMDLfU/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrd7oQqaxVtdKtHdDEbbb9hoWKfgxn3cE7shVvjKyr4b0sR2o6ozFcTu9LV8n1hc23yhIsAOmOxzs3PsIz8ygZoPlFVlDmodvzoNUfF9-_ggYylw-nZwm3nyL3lAzXu-Q3rjFbmOQ=w408-h544-k-no,1086,moderate,,cafeterias
Le Pain Quotidien,Restaurant,"Bakery, Breakfast restaurant, Brunch restaurant, Coffee shop","Somos la panadería y restaurante que sirve alimentos de temporada, sencillos e integrales. Le Pain Quotidien significa “el pan de cada día” en francés, y tal y como indica nuestro nombre, somos panaderos de corazón. Aunque el pan hecho a mano marca nuestros orígenes, servimos una amplia variedad de opciones ecológicas como café, pastelería, huevos, tartines, sopas, ensaladas y postres.
En Le Pain Quotidien, creemos que los alimentos deben prepararse de una manera sencilla, nutritiva y deliciosa. Por ese motivo creemos también que los ingredientes de nuestros platos deben de ser de origen local y ecológico, siempre que este a nuestro alcance.",5491151991429,"Av. del Libertador 2417, C1425 Olivos, Provincia de Buenos Aires",Olivos,C1425,Buenos Aires Province,AR,-34.5077523,-58.479270199999995,4.4,4981,https://www.lepainquotidien.com/ar/en/locations/Olivos/Av.-Del-Libertador-2417,www.lepainquotidien.com,8323177445480879062,ChIJL1np_l61vJUR1lNu4MndgXM,True,close,https://lh3.googleusercontent.com/-VCfMcvqU-Xc/AAAAAAAAAAI/AAAAAAAAAAA/60KDf6qpKB8/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipPNygs7cPuxQkEEQ55jcEktohLXGgAbgfLcRHfj=w408-h544-k-no,2590,expensive,,cafeterias
Sandwicheria Queen,Restaurant,"Cafe, Sandwich shop","Somos una fabrica de sándwich ubicada en Villa Luzuriaga , contamos con mercaderia de primera calidad y preparamos los sándwich de miga en el momento y personalizado para cada cliente variedad de gustos , tambien contamos con milanesas , hamburguesas, tartas , empanadas , tostados , pernil entero y mucho más , contamos con cafeteria medialunas",54946508649,"Pres. Juan Domingo Perón 805, B1753 Villa Luzuriaga, Provincia de Buenos Aires",Villa Luzuriaga,B1753,Buenos Aires Province,AR,-34.6597006,-58.5792126,4.6,515,https://www.instagram.com/sandwicheriaqueen/?hl=en,www.instagram.com,302326137295868955,ChIJ7zsMz7jHvJURGxTWIwUUMgQ,True,open,https://lh5.googleusercontent.com/-jNSLyxwe6js/AAAAAAAAAAI/AAAAAAAAAAA/qnBoVlWqszI/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipNSHuPG6S79h5G_D9lcAE794hQ8oqYP_eVtJ96b=w408-h271-k-no,93,moderate,,cafeterias
Heladería Incontro,Ice cream shop,Coffee shop,Somos un negocio con más de 35 años en el rubro de venta de helados. Con la mejor atención e infraestructura del barrio.,5491147554094,"Av 44 KGC Villa Maipú Buenos Aires AR, Av. Pres. Arturo Illia 2495, B1650",Villa Maipú,B1650,Buenos Aires Province,AR,-34.572072299999995,-58.524144899999996,4.5,1596,https://www.heladeriaincontro.com/,www.heladeriaincontro.com,2641579833420748160,ChIJlUuW6w63vJURgBXh4NzGqCQ,True,open,https://lh3.googleusercontent.com/-q0yD-LhLYvs/AAAAAAAAAAI/AAAAAAAAAAA/P-lGB0nvbnY/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipNhdAKkXyCGhWDigK1NcrzTq4F4jjaEuFNZEIG-=w426-h240-k-no,303,moderate,,cafeterias
SĀNTAL - Espacio Pirámide,Cafeteria,Coffee shop,"Partiendo de la premisa de sentirse como en casa gracias a sus cómodos espacios, donde además se puede degustar café de especialidad y una completa propuesta gastronómica elaborada con productos de primera calidad y una atención personalizada, SĀNTAL se convierte en el lugar preferido del barrio Belgrano.",5491124756221,"O'Higgins 1502, C1426 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1426,Buenos Aires,AR,-34.5654211,-58.448298599999994,4.7,2450,http://www.instagram.com/santalcafe,www.instagram.com,13362427617978286070,ChIJQd-4Bt21vJUR9v92Eh_hcLk,True,open,https://lh3.googleusercontent.com/-42XXnhb-pB8/AAAAAAAAAAI/AAAAAAAAAAA/C6A2tdTOyXU/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipMvMdiS2nMcZueGCzFpL-e1-Opyk_5icX_E2n0=w408-h271-k-no,637,,,cafeterias
Pan Moa,Cafe,Breakfast restaurant,,5491146113547,"Ruperto Godoy 763, C1406 C1406ASA, Cdad. Autónoma de Buenos Aires",C1406ASA,C1406,Buenos Aires,AR,-34.6235049,-58.476624599999994,4.5,583,https://www.facebook.com/Pan-Moa-1399738883658941,www.facebook.com,9240855800296661728,ChIJuUsJGO3JvJUR4GJK5WMdPoA,True,close,https://lh5.googleusercontent.com/-hH8GNyeG8ck/AAAAAAAAAAI/AAAAAAAAAAA/SMYb5bxAJ2k/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzBPjTHic3RA3sgApt6GI6ump7fTYEVsfcJpQsJWkCWDUmAxR4fToeSqlUXiGriRQqM9dCUiWai8IeHy2LItvCeYV2sQLK8xik82AKCD1Jx0X4PUq8p_4ABpkGAcmGG7pXn0sJ=w426-h240-k-no,610,moderate,,cafeterias
La casita de Oberón,Gift shop,"Cafe, Cafeteria",Un mundo mágico donde compartir todos tus momentos llenos de amor y alegria,5491173604705,"Av. de Mayo 944, B1704 Ramos Mejía, Provincia de Buenos Aires",Ramos Mejía,B1704,Buenos Aires Province,AR,-34.6494468,-58.5637714,4.6,2055,https://www.facebook.com/LaCasitaDeOberonRamosMejia/,www.facebook.com,931516387972119368,ChIJsdeojufHvJURSHuILzhp7Qw,True,close,https://lh3.googleusercontent.com/-mKGvyLFySj4/AAAAAAAAAAI/AAAAAAAAAAA/y56V61xvwGk/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npnYleqhYnsl72s7Banfu7SgUeh7hepUDCLj6UftadIsTgiQMvECupGtHxZ1A6C4BI3FaHQEJml9mgW_5UDGqsT2DALuHkkhh6FISVNwTqc00sB-2D1EJYWM8MK1IkJlAiNUXUa=w408-h544-k-no,2949,,,cafeterias
