titulo,tipo,categoria,descripcion,telefono,direccion,rating,cantidad_reviews,url,nivel_precio,quality_score,verificado,estado_actual,latitud,longitud
Ruda Bar,Cafetería,Stand bar,,5491137817155.0,"Crámer 824, C1426 Cdad. Autónoma de Buenos Aires",4.4,1426,http://www.instagram.com/rudacramer,inexpensive,31.958650316898083,True,open,-34.5731277,-58.4486612
El Pingüino de Palermo,Restaurante,Restaurant,"Comida casera y fresca.
CAFE - PARRILLA - PIZZAS.
Abierto todos los días de 07:00 a 00hs.
¡TE ESPERAMOS!",5491148311290.0,"Jorge Luis Borges 2195, C1414 Cdad. Autónoma de Buenos Aires",4.1,2374,https://instagram.com/elpinguinodepalermo?utm_medium=copy_link,moderate,31.86828613752184,True,close,-34.584875,-58.424256
DOC Café,Bar,Cafe,"DOC, café, comida & cosas

Desayunos, brunch, almuerzos y pastelería casera! Tenemos un montón de opcionas veganas y sin gluten (no aptas celíacx)

Vení a conocer el mejor café de Villa Crespo!

Pedidos por Rappi o escribinos al 11-6196-5270 y pasá a buscar tu pedido",5491161965270.0,"Aráoz 645, C1414 Cdad. Autónoma de Buenos Aires",4.4,1388,http://doccafe.com.ar/,moderate,31.839893108119117,True,close,-34.5982603,-58.4343229
DOC Café,Cafetería,Cafe,"DOC, café, comida & cosas

Desayunos, brunch, almuerzos y pastelería casera! Tenemos un montón de opcionas veganas y sin gluten (no aptas celíacx)

Vení a conocer el mejor café de Villa Crespo!

Pedidos por Rappi o escribinos al 11-6196-5270 y pasá a buscar tu pedido",5491161965270.0,"Aráoz 645, C1414 Cdad. Autónoma de Buenos Aires",4.4,1388,http://doccafe.com.ar/,moderate,31.839893108119117,True,close,-34.5982603,-58.4343229
Aldos Restaurante,Restaurante,Restaurant,"Restaurante de vinos.
Cocina ítalo americana.
Más de 700 etiquetas de vino de reconocidos enólogos y de pequeños winemakers provenientes de todas las regiones del país y del exterior curada por Aldo Graziani.
Contamos con un equipo de sommeliers profesionales que siempre
acompañan las necesidades, guían y acompañan a nuestros comensales.
Contamos con una de las cartas de vinos más amplias y variadas del país para que cada quien encuentre un vino a su medida.
Una experiencia que fusiona gastronomía ítalo-americana con vinos, bajo la guía de sommeliers profesionales.
Todos los meses, desarrollamos degustaciones con reconocidos winemakers y bodegas del país en nuestra cava Elisabeth Checa.",5491137556536.0,"Arévalo 2032, C1414CQP Cdad. Autónoma de Buenos Aires",4.1,2354,http://aldosvinoteca.com/,moderate,31.83361362644712,True,close,-34.5780418,-58.4374903
Barbara,Bar,Bar,"Somos el bar más divertido de Plaza Serrano.
;)",5491127364805.0,"Serrano 1545, C1414DFE C1414DFE, Cdad. Autónoma de Buenos Aires",4.2,1944,https://instagram.com/somosbarbara?igshid=6h6kq0hkkoad,moderate,31.806672475420697,True,open,-34.5892149,-58.4307124
Tienda de Café,Cafetería,Cafe,Tienda de Café Pueyrredón,5491148546760.0,"Av. Dr. Honorio Pueyrredón 1121, C1414 Cdad. Autónoma de Buenos Aires",4.1,2328,http://www.tiendadecafe.com.ar/,moderate,31.788096506525797,True,open,-34.6069251,-58.4457928
Perro,Bar,Restaurant,"Somos esa familia gastronomica que nos gusta comer y beber de todo un poco.
Con el concepto de tapas, iniciamos una carta que nos llevó a curiosear diferentes platos típicos del mundo.
“En la simpleza está la grandeza” Esta frase nos conectó 100% con nuestro antepasado y a los domingos en familia. Donde nuestros mayores nos cocinaban con amor y dedicación.
Con esa intención fuimos construyendo PERRO BAR.
Donde comer y beber nos vincula con la magia del compartir.
En familia, con amigos y mascotas es más divertido. Queremos que te sientas como en casa, porque en definitiva todo lo preparado con amor y buena intención se convierte en el encanto del buen sabor.",5491125226501.0,"Honduras 5182, C1414 Cdad. Autónoma de Buenos Aires",4.3,1622,https://www.instagram.com/perrocomedor,moderate,31.78573574031274,True,open,-34.5876643,-58.431976199999994
Moksha Café Studio,Cafetería,Espresso bar,"Hola Palermo!
Moksha abre sus puertas en este GRAN y bello barrio porteño, con una propuesta artesanal, 100% home made.
Somos una cafetería que tiene producción propia en su totalidad, con productos artesanales, libres de aditivos o conservantes. Opciones de almuerzo y tapeo tipo bodegón, con ambiente de tiny coffee shop.
El mejor café de especialidad de Trópico tostadores, y la mano pastelera de nuestro maestro pastelero.
No esperes mas.. el lugar para vivir momentos únicos es acá, en Moksha!
Te esperamos!!",5491125732589.0,"Fitz Roy 1962, C1414 Cdad. Autónoma de Buenos Aires",4.9,655,https://www.mokshadeli.com.ar/,inexpensive,31.782187865826035,True,close,-34.581986199999996,-58.4340973
Surry Hills — Australian Brunch & Specialty Coffee,Cafetería,Coffee shop,Cafetería de especialidad; ubicada en Palermo las cañitas,,"Arévalo 2877, C1426 Cdad. Autónoma de Buenos Aires",4.7,861,http://www.surryhillscoffee.com/,,31.76849977211936,True,close,-34.572268799999996,-58.4312531
El Bochín,Restaurante,Restaurant,,5491153707507.0,"Julián Álvarez 2355, C1425 Cdad. Autónoma de Buenos Aires",4.1,2315,,moderate,31.765147038640826,True,close,-34.5878265,-58.4163234
Podestá,Bar,Bar,,5491165030175.0,"Armenia 1740, C1414 Cdad. Autónoma de Buenos Aires",4.0,2802,https://podestabar.com/,moderate,31.753782204659153,True,close,-34.5889447,-58.4268204
Bilbao Argentina,Bar,Restaurant,"Bilbao no es sólo un lugar con raíces y con historia, Bilbao es un lugar para vivir una experiencia completa; desde desayunos hasta las mejores noches de tapas y tragos!",5491155782228.0,"Thames 1795, C1414 Cdad. Autónoma de Buenos Aires",4.5,1151,,moderate,31.721646785651266,True,open,-34.5868667,-58.429114
