titulo,categoria,categorias_adicionales,descripcion,telefono,direccion,ciudad,codigo_postal,region,pais,latitud,longitud,rating,cantidad_reviews,url,dominio,cid,place_id,verificado,estado_actual,logo,imagen_principal,total_fotos,nivel_precio,hotel_rating
Innova CYBER CAFÉ | Cibercafé Gamer,Cibercafé,"Bar, Librería, Locutorio, Copistería, Kiosco, Imprenta","El lugar perfecto para los amantes de los juegos de rol y la tecnología. Aquí encontrarás una amplia variedad de servicios, juegos y accesorios para que disfrutes de tus pasatiempos favoritos.

No esperes más, vení y formá parte de nuestra comunidad de jugadores. Te garantizamos una experiencia de juego inolvidable.
En nuestro local encontrarás MAXIKIOSCO, CARGAS VIRTUALES, SUBE, LIBRERÍA, IMPRESIONES A COLOR Y B/N, FOTOCOPIAS, TRÁMITES ONLINE, LOCUTORIO, CIBERCAFÉ GAMER, VELADAS GAMER Y MUCHO MÁS.

¡Escribínos hoy mismo para reservar tu lugar! Jugar nunca había sido tan divertido y emocionante. ¡Te esperamos!",5491148384928,"Murillo 763, C1414AFE Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,C1414,Cdad. Autónoma de Buenos Aires,AR,-34.5998364,-58.444389599999994,4.3,215,https://innovacybercafe.com/,innovacybercafe.com,13973201559099261597,ChIJe_TEkgvKvJURncIL6cjI6sE,True,open,https://lh6.googleusercontent.com/-kS5REducXF0/AAAAAAAAAAI/AAAAAAAAAAA/gcuhFpUiqH4/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOgCwZoZ_9CL_ogeYkRrbhQ7sYlnI7ndYUaiPyE=w458-h240-k-no,48,,
Timbre 4 bar,Bar,,"El bar de Timbre por Gaby es el lugar más increíble que puedas visitar, para comer, tomar y disfrutar del teatro",5491150379401,"C1223ABV, México 3554, 1223 Buenos Aires",Buenos Aires,1223,Buenos Aires,AR,-34.6198252,-58.4159346,4.3,214,,,10779386234989104563,ChIJeckHYPjKvJURs81CSasSmJU,True,close,https://lh5.googleusercontent.com/-HHTTP_gkvbc/AAAAAAAAAAI/AAAAAAAAAAA/gzVT-DFFRT4/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noC_vxZ5JDNeT3xZb4iFZ6rBHUWINiXxU5FNIp4OLtnfy4Aad8--UC5udyYI5P8AS7WLrtmB26C3NnwzkyOh85q_Tw1y1DGJPkWpIS94LkjdnTNojex_H58eo19gGwMFP_6kVIxuw=w408-h306-k-no,80,,
Cruz Vinos VIAVIVA,Wine bar,,,54977379218,"Mendoza 1730, C1428 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1428,Buenos Aires,AR,-34.5571188,-58.4516638,4.6,214,,,3837245079214364441,ChIJucwzbAm1vJURGRewphGiQDU,True,open,https://lh6.googleusercontent.com/-O8cndqRk2Rw/AAAAAAAAAAI/AAAAAAAAAAA/BOSMEDe9J1g/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noFiTc6ApVjEVaysvd29zmU5MvmUEor92lNRfBktblkE4g008WF7_1KPfAg9EiBsFiiXoxNosVd-kNq99_ASeO5-vTsoPQ004_Qh3OdrKD2NveHTdM-VUJDh9DPvoToJLi3Z-TKMjbFb8cq=w408-h544-k-no,132,,
Viandas Don Piponne Catering,Caterer,"Catering food and drink supplier, Cocktail bar, Meal delivery, Pizza takeaway, Social services organization, Wedding planner","Somos una empresa abocada a la organización integral de eventos corporativos y sociales desde el año 2004.
Ofrecemos catering para todo tipo de eventos formales e informales.
Servicio de viandas para empresas, comedores in situ.
Pizza Party, Pasta Party, comidas congeladas, viandas para empresas y mucho más...",5491142483095,"Lugano 80, B1832 Lomas de Zamora, Provincia de Buenos Aires",Lomas de Zamora,B1832,Buenos Aires Province,AR,-34.7582155,-58.382361599999996,4.8,212,https://www.donpiponne.com.ar/,www.donpiponne.com.ar,11425015722293851404,ChIJDR7PW7rSvJURDPWTYETPjZ4,True,close,https://lh5.googleusercontent.com/-ElWHSv5Jmyc/AAAAAAAAAAI/AAAAAAAAAAA/BPA8qeMreAw/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOpf_FK9QX73wvjoayRDsRv1kXSxqnsMwUVgezF=w408-h272-k-no,43,,
Chigre,Bar,,"Chigre es un bar de vinos y vinoteca en Saavedra con más de 70 etiquetas de bodegas tradicionales y boutique para disfrutar en el lugar o llevar. Contamos con opciones de tapeo, pizzas y empanadas para la cena. También tenemos opciones de cafetería y pastelería como medialunas, budines y tostadas para la merienda.",5491125390383,"Ramallo 2904, C1429 Düzköy, Cdad. Autónoma de Buenos Aires",Düzköy,C1429,Buenos Aires,AR,-34.544831099999996,-58.47781,4.9,212,https://www.instagram.com/chigre.bar?igsh=MWFlZjBxY3ljMDVtZQ%3D%3D&utm_source=qr,www.instagram.com,14862776929150267254,ChIJ3eSvLQC3vJURdm_f5d4wQ84,True,close,https://lh4.googleusercontent.com/-l-0i0Hsbyns/AAAAAAAAAAI/AAAAAAAAAAA/s29bFqRcyKU/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipMU7eHslX-y9q5CIhu4c_4kfadge_JaryA2JfC7=w408-h330-k-no,145,moderate,
Mediterránea Café Teatro,Dinner theater,Bar,,5491120652644,"Tucumán 3378, C1189 AAN, Cdad. Autónoma de Buenos Aires",AAN,C1189,Buenos Aires,AR,-34.600176999999995,-58.4133485,4.1,211,http://mediterraneaespaciodearte.blogspot.com/,mediterraneaespaciodearte.blogspot.com,1130171721545130492,ChIJof2uFonKvJUR_KHjXTEtrw8,True,close,https://lh3.googleusercontent.com/-icqRr3nN09I/AAAAAAAAAAI/AAAAAAAAAAA/8LPMDs5EuV0/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrO4ftB55ud3fURhZNiLpgBUqDWmoFfsROC0604peGHAKzg3Yr2m7wG3h3rSnGUFWI6sgvUJf5Pt6xYlCksA9PHPGKZM1CMyh0_JzPjmSU-buJNS2Zy_smWAiBU1s5r2x5M5mfw2A=w408-h306-k-no,242,,
Umai - Japanese Bar,Bar,,"Un espacio diferente para vos que disfrutás de la buena compañía.
La de tus amigos, de una pareja, de un trago que te traslade al otro extremo del mundo.

Cócteles con improntas de deidades y demonios provenientes de Japón, que no te vas a querer perder.
Nos separa un mar y kilómetros de distancia de nuestras raíces, pero la pasión y la costumbre se sienten intactas:
UMAI representa esa cerveza, esos tragos y esas risas con amigos después de un largo día de trabajo.

Cruzá el torii que divide nuestros mundos, y sumergite ahí donde nacen mil historias,
y donde vamos a seguir creando noche a noche, mil recuerdos ¿Estás listo?",5491123916055,"Dr. Tomás Manuel de Anchorena 1122, C1425 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1425,Buenos Aires,AR,-34.5963521,-58.4073457,4.6,211,https://linktr.ee/umai.japanesebar/,linktr.ee,12555428497873608124,ChIJbW5oks3LvJURvJ2SgrLXPa4,True,temporarily_closed,https://lh5.googleusercontent.com/-DieeKA0r8j4/AAAAAAAAAAI/AAAAAAAAAAA/sCbRMMemKzM/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nottYmDMoOYqP8XVE8DmeE1FqCcc_e3JkhBLJb0lHDxO1mgufdih1lO963IqO36fhzNGbduhzhd8GFPrn4ng4vvYdYOdbavc5DhEpZr1gQJJOrp2zO6g1oW7JSqR-L_lQhzUKFU=w408-h336-k-no,262,,
Clark,Brewpub,Bar,"cerveceria, resto bar, cocteleria, comida asiatica, comida rapida",,"Dr. Tomás Manuel de Anchorena 557, C1171 Cdad. Autónoma de Buenos Aires",Buenos Aires,,Buenos Aires,AR,-34.603170399999996,-58.4099021,3.9,211,https://www.instagram.com/clarkcerveceria/,www.instagram.com,17478234308042941608,ChIJp01xkK3LvJURqOTx338pj_I,True,temporarily_closed,https://lh4.googleusercontent.com/-uNF4MZ12IE8/AAAAAAAAAAI/AAAAAAAAAAA/rOAlCK6YsSE/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nriAtF6GvIWP7v9EduX_-2DTGHVh8BXFH7Z-5MJRpZnjV6jjTsJYvD2WP8gpDRPZenosaBsLdWzd9l9JiBdKJHooc1PokAJU3A1wuUEfdQuH-2t7hWO3qZokcod11xrI3mxLlRZ=w408-h495-k-no,126,inexpensive,
Dolce Mia,Cafe,"Bakery, Bar, Cafeteria, Confectionery store, Patisserie","Hacemos facturas apto ovolacteovegetarianos y veganos
Hacemos exquisitos exprimidos 100 porciento natural y jugos mixtos y detox...
Los esperamos...",5491131629900,"Oscar Salguero 2201 1650, B1650 San Martín, Provincia de Buenos Aires",San Martín,,Buenos Aires Province,AR,-34.574771,-58.538140999999996,4.3,211,,,5755717718261715558,ChIJ-1vonHG3vJURZlJpCMVq4E8,True,close,https://lh4.googleusercontent.com/-eDaq0E3XRW4/AAAAAAAAAAI/AAAAAAAAAAA/sHAvfZO3yVM/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noZ8t50e8GQKx3ll0IPF9VJxi1VRbruIHf2hpRNnftcsp_L751xMlHHAyyJFGuXBjMsMNf2PZlJcbh3wRMIg9EpMIWHGtQZycQejxtHnMpCAfsntvNEJ5g6qEgowZzz9akVurcfUw=w426-h240-k-no,60,inexpensive,
Pool Over Bar Lanús,Bar,Fast food restaurant,instag pooloverbarlanus,5491144197040,"Centenario Uruguayo 1385, B1823 Monte Chingolo, Provincia de Buenos Aires",Monte Chingolo,B1823,Buenos Aires Province,AR,-34.7208155,-58.3611301,4.3,210,http://www.pooloverbarlanus.com/,www.pooloverbarlanus.com,18373764359339698541,ChIJed2oPzozo5URbeksIVa5_P4,True,open,https://lh6.googleusercontent.com/-11A3smNLkwg/AAAAAAAAAAI/AAAAAAAAAAA/cMPEFsjDMtI/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOgMv-6IIq0mMhKW4ccR5hRR7kCa0Ophbqljh-s=w426-h240-k-no,117,inexpensive,
Bar Garden,Bar,Cold cut store,,,"Av. Pres. Perón 477, B1707 Villa Sarmiento, Provincia de Buenos Aires",Villa Sarmiento,B1707,Buenos Aires Province,AR,-34.638202,-58.572111,4.3,209,,,17846863628977963290,ChIJ1b9P5vPHvJURGgES8OnLrPc,True,open,https://lh5.googleusercontent.com/-qbExQZbUyCg/AAAAAAAAAAI/AAAAAAAAAAA/tbOetu_JJAs/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npHKxNwoTWwog7GHMFvHMrcSRJaD6fDejAXKOSFqXbu7ni5TZGt8t3znRf9l94XPAQHAqTu_TRn2eqDZWLP-BKGGSxu9pnNzsLa0VqVvuXSqI84cve93WGzrrRkrjY_sLRoo1Q=w408-h544-k-no,89,moderate,
PIBÄ DOHO,Bar,,PIBÄ Street Gourmet,,"Av. Donado 1877, C1430 C1430DRI, Cdad. Autónoma de Buenos Aires",C1430DRI,C1430,Buenos Aires,AR,-34.574742,-58.4731372,4.8,207,http://piba.com.ar/,piba.com.ar,5875893999961404981,ChIJ9Qi8JQC3vJURNXaMDXZei1E,True,close,https://lh4.googleusercontent.com/-aRP1TQ_G2PI/AAAAAAAAAAI/AAAAAAAAAAA/DgXedb8qjn4/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipP0onQfIcwYrPhgMZz3RQDAP0TFXgVf3YYxdz-s=w408-h544-k-no,110,inexpensive,
