titulo,categoria,categorias_adicionales,descripcion,telefono,direccion,ciudad,codigo_postal,region,pais,latitud,longitud,rating,cantidad_reviews,url,dominio,cid,place_id,verificado,estado_actual,logo,imagen_principal,total_fotos,nivel_precio,hotel_rating
El Salteño,Restaurant,,MINUTAS - PLATOS ESPECIALES - PLATOS REGIONALES - PIZZAS Y EMPANADAS,5491148648764,"Gascón 578, C1181 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1181,Buenos Aires,AR,-34.604875899999996,-58.424496399999995,4.3,2307,http://www.xn--parrillaelsalteo-lub.com/,www.xn--parrillaelsalteo-lub.com,15466282650572995296,ChIJi0APoGbKvJUR4LowdyBGo9Y,True,close,https://lh4.googleusercontent.com/-FxKawL_VTSg/AAAAAAAAAAI/AAAAAAAAAAA/9gHQPgaTEmg/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipPg98RO5gd83uFgKwfyV3raglINg07mh8SLavAi=w408-h408-k-no,696,inexpensive,
HERMANOS,Restaurant,,"“Siempre dije que era una parrilla de vegetales y carne”, advierte Christian Petersen. Es decir que aquí el protagonismo se comparte.

- No te olvides que Hermanos cuenta con Pick up de p__milas para tu congelador!",5491126695718,"Dardo Rocha 2208, B1640FTD Buenos Aires, Provincia de Buenos Aires",Buenos Aires,B1640,Buenos Aires Province,AR,-34.492804,-58.530252999999995,4.3,2303,https://www.instagram.com/p__hermanos/,www.instagram.com,2203395904274554067,ChIJU332TT-xvJUR09zVneYIlB4,True,close,https://lh6.googleusercontent.com/-8LtXBKcmKnk/AAAAAAAAAAI/AAAAAAAAAAA/-2KQMCDJX90/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipPmHCdGN2k0ivC42fySioLUqMqG_iIwzCoEJ0i8=w408-h272-k-no,1277,moderate,
ELECTRICA pizza,Restaurant,,"Pizzeria en un viejo taller mecanico.
Masa madre, harinas organicas. Horno a leña. Faina, focaccias, vermu, birras y el mejor flan del condado.",5491122362852,"Julián Álvarez 1295, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1414,Buenos Aires,AR,-34.5943934,-58.4263079,4,2298,https://www.instagram.com/electricapizza/?hl=en,www.instagram.com,16880473050946657816,ChIJRShLY53LvJURGN46os18Q-o,True,open,https://lh3.googleusercontent.com/-2MUXcJ_JBUw/AAAAAAAAAAI/AAAAAAAAAAA/G7G3fuvOgLo/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipPTzYkiGwZFQbMyLzhMhSMHy_5vKG9v2a05oBfj=w408-h544-k-no,1481,moderate,
YIYO EL ZENEIZE,Restaurant,"Bar, Gastropub, National museum, Warehouse store, Wine club, Winery","YIYO EL ZENEIZE ¨Un viejo almacén con 104 años de historias en el barrio, un verdadero viaje al pasado¨ Desde 1921 en Parque Avellaneda, Ciudad Autónoma de Buenos Aires, Argentina.",5491140832445,"Av. Eva Perón 4402, C1407 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1407,Buenos Aires,AR,-34.653760999999996,-58.4740706,4.4,2293,https://yiyoelzeneize.ar/,yiyoelzeneize.ar,14820637880910198014,ChIJN62qrnrJvJUR_rRZLKF7rc0,True,open,https://lh5.googleusercontent.com/-6Aagc5pV8F0/AAAAAAAAAAI/AAAAAAAAAAA/Ly4eFDsnAWM/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipNCAxmzvh-qv2CSl5KWba0hSGl1x9-fh9gECgdF=w408-h725-k-no,3150,moderate,
Domani Ristoranti & Bar,Restaurante,,,5491125091206,"Jerónimo Salguero 3000, C1425DFN Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,C1425,Cdad. Autónoma de Buenos Aires,AR,-34.5776403,-58.4060448,4,2289,,,17829036665405392636,ChIJH-XtMnu1vJUR_EbniGJ2bfc,True,close,https://lh6.googleusercontent.com/-hyA68mhtdhA/AAAAAAAAAAI/AAAAAAAAAAA/OHw-QrGpvNM/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npYyo3sIFI1dt5CfgSv2eEHQzC8ANr2h6vaZcog0pFEUPck0gU8yzdTvuHZIGo9fZPERhYm6pIZjUD0g_lYg1zBXrhGZN68NZu_AI8WWloFBAwA871l3crnAXgXCGti38c6Mp06=w426-h240-k-no,705,moderate,
jakub,Restaurant,,"En nuestra esquina encontraras un ambiente renovado en el exterior y el interior tranquilo y con buena musica, para disfrutar en pareja o con amigos resperando el protocolo de COVID-19. En nuestra carta, encontraras cafetería, delicias de pastelería, cervezas artesanales, tragos clasicos, vinos, cocina de autor, hamburguesas y sándwiches de autor de la mano de nuestro chef Eslovaco. Te aseguramos que somos el unico resto/bar eslovaco de Argentina.",5491140045708,"Zapiola 1502, C1426AUF Cdad. Autónoma de Buenos Aires",Buenos Aires,C1426,Buenos Aires,AR,-34.57145,-58.4573203,4.5,2289,https://www.instagram.com/jakub.restaurant?igsh=MWlwNG9iaHh5MmEwaQ==,www.instagram.com,3271504128081526819,ChIJLWjgKdq1vJURIwCG26u3Zi0,True,close,https://lh4.googleusercontent.com/-cSlQlzhtY0U/AAAAAAAAAAI/AAAAAAAAAAA/TkF6pCiGC6Q/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noBZ8dCeO1BU2UdA_H4K-LSzAmZQiqMSELoOJ0I52VZRBr5eAMA6fK2mbPsxpCouT8w4QFsMDDxDZPiOjNV_Uv7GGeTA2UmT4IMSPQSOCxbjpFO77n027D-UTFCYO2naHfygd1i=w408-h306-k-no,1567,moderate,
La Placita,Restaurant,,,5491142081085,"José, Gran Buenos Aires Buenos Aires AR, Giribone 997, B1868DUK Piñeyro",Piñeiro,B1868,Buenos Aires Province,AR,-34.6661308,-58.3834172,4.5,2287,https://www.facebook.com/La-Placita-Mariscos-Avellaneda-323925464294225/,www.facebook.com,13464705119269557777,ChIJC3r2Y6XMvJURERZyh_c93Lo,True,close,https://lh3.googleusercontent.com/-67NLPoZ8m_s/AAAAAAAAAAI/AAAAAAAAAAA/vyuaBUJrZF8/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqWdWrnDcF14Dpj_-cqDa4c6WrwYZC-NEvkok0L1iUUnVB8PDrG5lxu9-1H91unV20hkfaCm4sT6VN9VsKdi-TdZRJOYa7JbnWfLCaKNcDzhcCwQOeajCfI-TY2l5P2ITG8XJ7B=w408-h306-k-no,1356,moderate,
Palacio Balcarce,Restaurant,,"El Palacio Balcarce es sinónimo de excelencia en gastronomía y eventos sociales. Cuenta con salón comedor, salón para reuniones privadas, salones para eventos, jardín y terraza.",5491162545672,"Av. Pres. Manuel Quintana 161, C1014 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1014,Buenos Aires,AR,-34.5909828,-58.3864263,4.1,2286,,,6057072170427717543,ChIJ65TQBbvKvJURp5c_GQwLD1Q,True,close,https://lh4.googleusercontent.com/-9pens6CLt0g/AAAAAAAAAAI/AAAAAAAAAAA/cuoP-NYRpq4/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOmB5HQQS14LfiCEy3UJKfOrueP15Fc4xExV6SQ=w408-h306-k-no,4530,moderate,
Gran Dabbang,Restaurant,,"HOLA, bienvenid@s a Gran Dabbang🐘!
📍DIRECCION
Av.Scalabrini Ortiz 1543
🕔 HORARIOS
LUNES A SABADOS de 19.30 a 00 hs
No abrimos los mediodias

🤔 ¿CÓMO ES EL SISTEMA?

🪑 Trabajamos por orden de llegada y sólo asignamos la mesa cuando todo el grupo está completo, de esta manera es más dinámico y nadie tiene que esperar de más.

📋 No tomamos reservas.

📱 En horario de servicio no nos conectamos.

🥥 Tenemos algunas opciones veganas (el menú es chiquito)

🐘 Esperamos verte pronto",5491135010481,"Av. Raúl Scalabrini Ortiz 1543, C1414DOC Cdad. Autónoma de Buenos Aires",Buenos Aires,C1414,Buenos Aires,AR,-34.5913918,-58.4254499,4.4,2274,https://www.instagram.com/DABBANG_/,www.instagram.com,291506791487877189,ChIJM3RR83jKvJURRbA_5OGjCwQ,True,close,https://lh4.googleusercontent.com/-vQgb-lOHcs8/AAAAAAAAAAI/AAAAAAAAAAA/rsUPw4Ter54/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npH6m4GW1pgR53CJPy_dxfWxk1NvKMbawV53PLtoKVZAMbDs05CaMVF_vQkJg7SCWbdTZpLAuwEyovLxhbK6dYF1lU6hmXenOD_LL32HzpNEPxUKJ0-d0qfZrHtuhC_GHO8mhB9JA=w408-h544-k-no,2355,moderate,
La Malbequería,Wine bar,Restaurant,,5491148326011,"Gurruchaga 1418, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,,Buenos Aires,AR,-34.5904447,-58.431154799999995,4.4,2273,,,5963486532733606255,ChIJ5UyXSYi1vJURb5lp1mePwlI,True,open,https://lh6.googleusercontent.com/-kX1jvXxn8_w/AAAAAAAAAAI/AAAAAAAAAAA/fff2EQ6T-Lc/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipPj288BncvOexwxFLHImPatl8j5vPMjIS27iDum=w424-h240-k-no,2239,moderate,
